Time,ACCx,ACCy,ACCz,GYRx,GYRy,GYRz,MAGx,MAGy,MAGz
0.107,-23.980,-13.803,23.980,-6.484,-1.303,-2.133,222.671,504.070,-1311.261
0.228,-0.071,-0.005,-1.091,-29.418,8.803,11.438,58.162,150.599,-526.698
0.350,-0.072,-0.005,-1.092,-0.394,0.841,0.299,45.976,150.071,-522.924
0.469,-0.060,0.001,-1.078,-0.578,0.806,0.273,34.805,149.544,-525.021
0.589,-0.056,-0.003,-1.097,-0.613,0.753,0.676,52.069,160.623,-528.376
0.707,-0.071,0.001,-1.094,-0.193,0.465,0.781,43.437,149.016,-525.021
0.829,-0.071,0.003,-1.068,-0.167,0.788,0.404,44.453,151.127,-521.247
0.950,-0.061,0.003,-1.085,0.104,0.692,0.641,40.391,154.820,-528.376
1.066,-0.072,0.007,-1.089,-0.464,0.753,0.623,40.898,150.599,-523.344
1.187,-0.074,-0.007,-1.066,-0.666,0.657,0.168,50.038,156.402,-533.407
1.305,-0.067,-0.002,-1.083,-0.456,0.727,0.483,48.007,151.654,-533.827
1.415,-0.070,-0.002,-1.076,-0.692,0.850,0.116,35.313,142.158,-535.504
1.527,-0.061,0.001,-1.080,-0.009,0.832,0.299,44.960,149.016,-535.085
1.642,-0.053,0.007,-1.086,-0.088,0.963,0.544,27.697,141.630,-548.923
1.755,-0.066,-0.003,-1.068,-0.237,0.841,0.256,52.069,153.237,-530.892
1.864,-0.067,0.003,-1.086,-0.062,0.692,0.422,50.038,154.820,-536.343
1.977,-0.064,-0.001,-1.091,-0.823,0.657,0.151,37.344,146.378,-528.795
2.095,-0.070,-0.007,-1.075,-0.403,0.762,0.343,47.499,146.906,-534.665
2.205,-0.068,-0.005,-1.069,-0.517,0.937,0.221,50.038,154.292,-535.085
2.314,-0.073,-0.002,-1.083,-0.491,0.596,0.623,42.929,154.820,-534.665
2.423,-0.065,0.002,-1.072,-0.228,0.858,0.641,38.360,147.961,-545.149
2.534,-0.074,-0.008,-1.083,-0.263,0.666,0.483,59.177,151.127,-530.892
2.645,-0.063,-0.003,-1.077,0.043,0.587,0.238,49.530,154.292,-535.504
2.757,-0.068,0.007,-1.074,-0.771,0.902,0.509,39.375,141.103,-540.536
2.876,-0.078,-0.007,-1.077,-0.534,0.762,0.387,50.038,149.016,-539.697
2.994,-0.072,0.010,-1.075,-0.001,0.640,0.247,44.960,151.654,-537.601
3.106,-0.070,0.004,-1.078,-0.106,0.605,0.308,36.836,146.906,-534.665
3.228,-0.078,-0.001,-1.089,-0.071,0.430,0.509,33.282,145.323,-538.020
3.347,-0.067,-0.002,-1.077,-0.482,0.736,0.194,48.514,156.930,-534.665
3.465,-0.073,-0.012,-1.067,-0.491,0.727,0.378,44.960,143.741,-538.439
3.575,-0.073,0.004,-1.064,-0.307,1.051,0.177,52.069,159.568,-530.053
3.687,-0.081,-0.006,-1.069,-0.797,0.920,0.343,40.898,156.930,-537.181
3.804,-0.075,0.001,-1.067,-0.438,0.403,0.439,39.375,150.599,-539.697
3.920,-0.071,-0.012,-1.078,-0.386,0.893,0.413,45.468,149.544,-526.698
4.038,-0.104,0.056,-1.042,-7.272,0.727,-0.480,43.945,163.788,-536.762
4.157,-0.032,0.035,-1.338,-39.769,1.620,2.294,35.821,128.969,-535.504
4.276,-0.031,0.241,-0.990,-91.438,54.251,-11.592,14.496,22.928,-561.083
4.388,-0.045,0.317,-0.911,-60.008,11.752,4.561,-34.248,-112.130,-552.277
4.507,-0.032,0.477,-0.906,-1.707,-21.253,12.462,-22.570,-140.091,-561.922
4.626,-0.308,0.400,-0.889,81.549,-44.064,2.732,19.065,-77.838,-557.309
4.732,-0.130,0.250,-0.968,49.769,0.500,0.159,26.681,10.266,-560.244
4.846,-0.086,0.003,-1.118,87.666,-3.709,4.027,64.255,120.000,-535.504
4.954,0.001,-0.022,-1.175,3.867,-7.673,-4.609,57.654,146.906,-533.407
5.066,-0.004,0.151,-0.989,-143.019,33.942,-28.663,41.406,54.582,-545.149
5.189,-0.075,0.389,-0.905,-69.484,10.580,-0.287,19.573,-96.303,-542.213
5.304,-0.096,0.381,-0.998,-20.677,-3.473,10.764,19.573,-130.595,-533.407
5.420,-0.013,0.426,-1.080,-34.642,-7.314,17.003,28.712,-150.642,-529.634
5.539,-0.025,0.524,-0.893,-46.166,5.128,15.271,18.558,-229.250,-518.312
5.660,-0.015,0.633,-0.843,-44.766,7.298,-6.132,-8.861,-289.393,-505.732
5.779,0.022,0.728,-0.771,-27.397,4.043,-4.233,-9.876,-322.630,-488.539
5.898,-0.098,0.654,-0.777,7.034,0.946,24.484,-7.845,-355.339,-476.379
6.019,-0.083,0.760,-0.709,18.453,45.860,26.952,-21.554,-338.457,-475.121
6.141,0.051,0.713,-0.781,-9.774,51.180,21.999,-73.852,-339.512,-488.120
6.256,0.084,0.608,-0.689,13.781,32.288,6.057,-157.122,-346.898,-494.410
6.380,0.223,0.758,-0.852,8.067,-2.020,-8.057,-143.921,-326.850,-497.345
6.498,0.119,0.679,-0.788,-15.751,-20.719,4.035,-122.595,-319.992,-494.410
6.620,-0.083,0.654,-0.753,133.857,-176.137,-33.406,-5.814,-285.700,-508.248
6.741,-0.283,0.379,-0.963,107.248,-34.282,-30.142,148.540,-120.571,-509.925
6.859,-0.299,0.225,-1.047,33.652,22.305,-17.700,182.051,-14.530,-512.441
6.980,-0.127,0.338,-1.031,-78.199,115.396,-3.603,119.091,-42.491,-530.053
7.096,-0.064,0.206,-1.097,19.906,54.837,26.908,29.728,-22.971,-556.051
7.207,-0.009,0.300,-1.071,-15.112,13.248,-30.833,-27.647,-48.294,-559.825
7.330,-0.077,0.160,-0.928,14.638,-61.223,-3.577,38.360,-14.530,-544.729
7.450,-0.136,0.125,-1.206,59.088,48.275,-13.902,66.286,32.424,-537.181
7.570,-0.066,0.195,-1.254,-34.729,32.358,-47.747,37.852,26.093,-548.503
7.689,-0.168,0.039,-1.299,84.376,-39.234,62.669,100.304,101.008,-527.956
7.808,-0.200,0.179,-1.173,-75.697,38.755,-36.180,43.945,-24.026,-535.923
7.929,0.056,0.376,-0.837,-55.974,65.092,10.817,-67.251,-127.429,-543.471
8.047,0.176,0.529,-0.770,-2.486,-10.823,-2.895,-82.991,-128.484,-548.084
8.170,-0.003,0.402,-1.239,14.078,-39.409,-3.498,22.112,-75.728,-544.729
8.290,-0.104,0.235,-0.975,69.606,-39.217,-25.855,5.356,-64.649,-539.697
8.409,-0.141,0.251,-0.717,48.474,-76.562,-22.871,36.836,12.904,-546.826
8.531,-0.303,0.165,-1.064,-12.951,-38.867,11.001,184.082,63.023,-506.990
8.648,-0.228,0.225,-0.960,-94.711,145.391,21.317,121.630,4.990,-527.118
8.769,0.026,0.330,-0.851,-33.539,93.468,-0.908,-96.700,-111.075,-555.213
8.891,0.203,0.453,-0.910,22.688,-22.889,-8.757,-151.029,-131.122,-548.503
9.008,-0.012,0.344,-0.935,59.359,-78.530,0.553,-72.836,-89.972,-546.826
9.125,-0.211,0.222,-0.959,33.713,-69.579,18.123,103.351,33.479,-529.634
9.236,-0.180,0.260,-1.170,-48.441,61.006,2.846,137.877,29.786,-524.602
9.349,0.023,0.384,-0.976,-39.104,86.687,-13.701,-41.356,-78.893,-548.084
9.465,0.143,0.381,-0.955,0.918,24.142,-23.580,-122.595,-107.382,-551.019
9.578,0.135,0.431,-0.976,-14.403,19.592,-22.425,-153.060,-113.713,-545.987
9.700,0.116,0.378,-0.923,-2.722,-8.635,1.647,-147.982,-117.933,-538.020
9.818,0.004,0.364,-0.935,76.308,-111.492,35.247,-60.650,-64.649,-551.439
9.937,-0.217,0.176,-1.029,75.083,-103.092,5.479,104.874,40.865,-527.956
10.054,-0.154,0.228,-1.162,-78.243,97.161,-36.425,129.754,66.188,-528.795
10.167,0.051,0.330,-0.988,-89.426,126.438,12.147,-120.057,-124.264,-556.051
10.285,0.181,0.443,-0.946,-17.824,21.351,0.212,-186.571,-161.721,-545.987
10.398,0.194,0.434,-0.889,1.259,-32.864,0.894,-174.385,-157.501,-546.407
10.515,-0.083,0.360,-1.006,54.039,-143.700,-9.431,26.174,-91.555,-546.407
10.624,-0.317,0.284,-1.008,32.926,-84.874,-15.110,196.776,-8.199,-500.700
10.739,-0.237,0.402,-1.030,-47.329,80.037,-42.103,183.067,-21.388,-508.667
10.857,-0.064,0.430,-0.932,-63.639,165.708,28.780,-60.650,-142.201,-544.310
10.975,0.241,0.512,-0.777,6.334,46.533,20.311,-205.358,-181.769,-538.439
11.084,0.111,0.393,-0.851,154.551,-176.320,-21.340,-133.766,-106.854,-552.697
11.194,-0.142,0.218,-1.189,72.371,-104.369,-14.926,117.060,75.157,-528.795
11.305,-0.198,0.128,-1.026,80.928,49.071,3.589,114.521,100.480,-531.311
11.415,0.337,-0.083,-1.161,-0.902,15.480,0.772,43.945,148.489,-533.407
11.526,-0.026,-0.046,-1.062,-0.324,-6.614,-23.676,21.604,169.064,-532.988
11.639,-0.007,0.006,-1.075,-0.491,2.232,29.288,28.712,165.898,-525.021
11.760,-0.068,0.002,-1.077,0.428,-0.060,0.649,38.360,168.536,-533.827
11.879,-0.073,-0.004,-1.069,-2.363,3.991,-0.672,33.790,167.481,-532.569
11.995,-0.078,0.001,-1.069,-0.403,0.780,0.413,38.360,175.922,-534.246
12.106,-0.072,0.006,-1.073,-0.044,0.911,0.037,35.313,171.702,-532.150
12.215,-0.070,0.001,-1.078,-0.237,0.710,0.571,37.852,173.284,-532.569
12.323,-0.075,-0.001,-1.069,-0.333,1.095,0.553,42.929,173.284,-528.376
12.440,-0.073,0.002,-1.078,-0.237,1.016,0.457,32.774,172.757,-532.569
12.559,-0.067,-0.010,-1.074,-0.377,0.780,0.422,23.635,172.229,-532.988
12.676,-0.072,-0.008,-1.080,-0.114,1.086,0.439,38.867,173.284,-534.246
12.794,-0.071,0.000,-1.082,-0.386,0.850,0.492,38.360,167.481,-533.407
12.911,-0.077,-0.001,-1.081,-0.228,0.990,0.518,28.712,164.843,-535.504
13.031,-0.072,-0.007,-1.061,-0.324,0.613,0.527,22.620,170.119,-538.439
13.151,-0.074,0.004,-1.069,0.087,0.762,0.474,41.406,168.536,-529.214
13.267,-0.068,-0.010,-1.069,-0.079,0.482,0.431,37.344,177.505,-528.795
13.389,-0.078,0.001,-1.078,-0.053,0.841,0.439,40.898,175.922,-527.118
13.506,-0.071,-0.008,-1.075,0.034,0.780,0.439,32.267,169.591,-535.085
13.614,-0.072,-0.001,-1.066,-0.386,0.963,0.291,26.681,176.977,-528.795
13.725,-0.075,0.001,-1.066,-0.184,1.068,0.448,31.759,170.119,-534.246
13.835,-0.072,0.001,-1.068,-0.368,1.051,0.238,25.666,166.426,-539.278
13.945,-0.072,0.003,-1.060,-0.219,0.465,0.142,29.220,175.922,-526.279
14.057,-0.067,-0.003,-1.072,-0.193,0.981,0.317,23.635,163.788,-529.634
14.174,-0.071,0.002,-1.073,0.008,0.841,0.168,38.867,179.088,-520.408
14.290,-0.075,0.001,-1.075,-0.377,0.780,0.474,26.681,168.009,-527.956
14.405,-0.066,0.001,-1.079,0.174,0.867,0.334,37.344,180.143,-521.666
14.518,-0.082,-0.181,-1.075,-0.368,0.473,0.229,36.329,176.977,-519.989
14.638,-0.075,-0.001,-1.076,-0.193,0.517,0.439,24.143,174.867,-527.956
14.760,-0.069,0.005,-1.072,-0.377,1.138,0.553,32.267,171.702,-528.376
14.880,-0.068,-0.004,-1.070,-0.464,0.438,0.063,36.329,179.088,-523.344
14.999,-0.081,0.000,-1.063,-0.097,0.587,0.422,38.360,168.009,-522.924
15.117,-0.075,0.000,-1.061,-0.097,1.051,0.168,33.282,178.033,-515.796
15.239,-0.074,0.001,-1.068,-0.491,0.893,0.361,35.313,174.340,-527.537
15.360,-0.067,0.003,-1.076,-0.491,0.666,0.422,31.759,163.788,-525.860
15.479,-0.072,-0.006,-1.069,-0.263,0.876,0.212,24.650,174.340,-523.344
15.599,-0.076,0.008,-1.075,-0.666,0.762,0.352,28.205,168.009,-514.118
15.720,-0.075,0.002,-1.083,0.052,0.876,0.361,29.728,179.088,-525.440
15.840,-0.072,0.007,-1.067,-0.499,0.640,-0.112,36.836,178.033,-521.666
15.961,-0.068,-0.007,-1.059,-0.088,0.578,0.238,26.174,175.395,-524.182
16.079,-0.076,0.001,-1.061,-0.394,0.823,0.632,33.282,168.009,-518.312
16.201,-0.064,0.005,-1.063,-0.141,0.823,0.378,39.883,165.371,-523.763
16.319,-0.065,0.001,-1.067,-0.263,1.296,0.037,39.375,180.670,-518.312
16.439,-0.072,-0.001,-1.085,-0.473,0.631,0.247,35.821,176.450,-521.666
16.558,-0.076,0.001,-1.069,0.008,0.640,0.702,41.406,180.143,-519.989
16.677,-0.076,0.000,-1.062,-0.342,1.068,0.361,34.805,173.284,-523.344
16.797,-0.070,0.004,-1.069,-0.044,0.823,0.684,25.158,169.064,-521.247
16.919,-0.069,-0.184,-1.076,-0.316,0.806,0.439,37.852,167.481,-526.698
17.041,-0.078,0.006,-1.074,-0.176,0.972,0.597,37.852,181.198,-524.182
17.160,-0.063,0.002,-1.070,-0.473,0.946,0.466,23.127,171.174,-521.247
17.276,-0.077,0.184,-1.069,-0.333,0.491,0.326,38.360,181.198,-525.021
17.388,-0.065,0.001,-1.061,-0.447,0.465,0.789,38.360,180.670,-522.924
